,Date,stock,value,change
110,2/2/2007,GSPC,1448.390015,-0.096660774
111,2/5/2007,MSFT,23.75018,-0.337723756
112,2/5/2007,IBM,83.092352,-0.527993238
113,2/5/2007,SBUX,15.586146,-1.028817515
114,2/5/2007,AAPL,11.105133,0.250181605
115,2/5/2007,GSPC,1446.98999,0.069800759
116,2/6/2007,MSFT,23.66997,-0.474415472
117,2/6/2007,IBM,82.65363,-0.010040696
118,2/6/2007,SBUX,15.425793,0
119,2/6/2007,AAPL,11.132916,2.376708851
120,2/6/2007,GSPC,1448,0.139504144
121,2/7/2007,MSFT,23.557676,-0.374531851
122,2/7/2007,IBM,82.645331,0.080371146
123,2/7/2007,SBUX,15.425793,-0.742496674
124,2/7/2007,AAPL,11.397513,0.03483216
125,2/7/2007,GSPC,1450.02002,-0.117926717
126,2/8/2007,MSFT,23.469445,-0.956942101
127,2/8/2007,IBM,82.711754,-1.074080717
128,2/8/2007,SBUX,15.311257,-1.37641867
129,2/8/2007,AAPL,11.401483,-3.37665723
130,2/8/2007,GSPC,1448.310059,-0.707721384
131,2/9/2007,MSFT,23.244856,-0.138021935
132,2/9/2007,IBM,81.823363,0.030439961
133,2/9/2007,SBUX,15.10051,-0.8798577
134,2/9/2007,AAPL,11.016494,1.933464494
135,2/9/2007,GSPC,1438.060059,-0.326138256
136,2/12/2007,MSFT,23.212773,0.589459949
137,2/12/2007,IBM,81.84827,-0.294178484
138,2/12/2007,SBUX,14.967647,-0.030606013
139,2/12/2007,AAPL,11.229494,-0.21205764
140,2/12/2007,GSPC,1433.369995,0.759749056
141,2/13/2007,MSFT,23.349603,1.344361187
142,2/13/2007,IBM,81.60749,0.925828009
143,2/13/2007,SBUX,14.963066,2.08205992
144,2/13/2007,AAPL,11.205681,0.708381757
145,2/13/2007,GSPC,1444.26001,0.764407996
146,2/14/2007,MSFT,23.663506,0.204077959
147,2/14/2007,IBM,82.363035,-0.282256476
148,2/14/2007,SBUX,15.274606,-0.359924177
149,2/14/2007,AAPL,11.28506,-0.10551118
150,2/14/2007,GSPC,1455.300049,0.103759359
151,2/15/2007,MSFT,23.711798,-2.443990118
152,2/15/2007,IBM,82.13056,0.070762941
153,2/15/2007,SBUX,15.219629,-0.632157328
154,2/15/2007,AAPL,11.273153,-0.44596219
155,2/15/2007,GSPC,1456.810059,-0.087178146
156,2/16/2007,MSFT,23.132284,0.313155415
157,2/16/2007,IBM,82.188678,0.363674179
158,2/16/2007,SBUX,15.123417,-0.575584208
159,2/16/2007,AAPL,11.222879,1.261343012
160,2/16/2007,GSPC,1455.540039,0.284431544
161,2/20/2007,MSFT,23.204724,1.803675838
162,2/20/2007,IBM,82.487577,-0.26170365
163,2/20/2007,SBUX,15.036369,-1.279697246
164,2/20/2007,AAPL,11.364438,3.841676993
165,2/20/2007,GSPC,1459.680054,-0.140445092
166,2/21/2007,MSFT,23.623262,0.136285158
167,2/21/2007,IBM,82.271704,-0.595413704
168,2/21/2007,SBUX,14.843949,1.882706549
169,2/21/2007,AAPL,11.801023,0.347537667
170,2/21/2007,GSPC,1457.630005,-0.085755644
171,2/22/2007,MSFT,23.655457,-1.667234753
172,2/22/2007,IBM,81.781847,-0.781722379
173,2/22/2007,SBUX,15.123417,-0.78763946
174,2/22/2007,AAPL,11.842036,-0.491562431
175,2/22/2007,GSPC,1456.380005,-0.35636743
176,2/23/2007,MSFT,23.261065,0.588236179
177,2/23/2007,IBM,81.14254,-0.839046941
178,2/23/2007,SBUX,15.004299,-2.259545748
179,2/23/2007,AAPL,11.783825,-0.628717755
180,2/23/2007,GSPC,1451.189941,-0.125410599
181,2/26/2007,MSFT,23.397895,-4.127965358
182,2/26/2007,IBM,80.461716,-3.044065081
183,2/26/2007,SBUX,14.66527,-3.936265749
184,2/26/2007,AAPL,11.709738,-5.174564965
185,2/26/2007,GSPC,1449.369995,-3.472540219
186,2/27/2007,MSFT,22.432038,1.07642471
187,2/27/2007,IBM,78.012409,-1.085565759
188,2/27/2007,SBUX,14.088006,0.487805017
189,2/27/2007,AAPL,11.10381,0.810208388
190,2/27/2007,GSPC,1399.040039,0.556088946
191,2/28/2007,MSFT,22.673502,-0.28398789
192,2/28/2007,IBM,77.165533,-0.720900872
193,2/28/2007,SBUX,14.156728,-1.650487316
194,2/28/2007,AAPL,11.193774,2.895636449
